Emotions,words
sadness,dolourous
sadness,down
sadness,downcast
sadness,downheart
sadness,downhearted
sadness,downheartedness
sadness,downtrodden
sadness,drab
fear,dread
fear,dreaded
fear,dreadful
fear,dreadfully
sadness,drear
sadness,dreari
sadness,dreary
anger,dudgeon
surprise,dumbfound
surprise,dumbfounded
surprise,dumfound
surprise,dumfounded
anger,dun
sadness,dysphor
sadness,dysphoria
sadness,dysphoric
joy,eager
joy,eagerly
joy,eagerness
joy,ebulli
joy,ebullient
joy,ebulliently
joy,elan
joy,elat
joy,elate
joy,elated
joy,elating
joy,elation
joy,embolden
joy,emot
joy,emotive
joy,empath
joy,empathet
joy,empathetic
joy,empathetically
joy,empathi
joy,empathic
joy,empathy
joy,enamor
joy,enamored
joy,enamoredness
joy,enamour
joy,enchant
joy,enchanting
joy,enchantment
joy,endear
joy,endearingly
anger,enfuri
anger,enfuriate
joy,enjoy
anger,enmiti
anger,enmity
anger,enrag
anger,enraged
anger,enragement
joy,enthral
joy,enthralled
joy,enthralling
joy,enthrallment
joy,enthusiasm
joy,enthusiast
joy,enthusiastic
joy,enthusiastically
joy,entranc
joy,entrance
joy,entranced
joy,entrancing
anger,envi
anger,enviabl
anger,enviable
anger,enviably
anger,envious
anger,enviously
anger,enviousness
anger,envy
joy,esteem
joy,euphor
joy,euphori
joy,euphoria
joy,euphoriant
joy,euphoric
anger,evil
anger,exacerb
anger,exacerbate
joy,exalt
anger,exasper
anger,exasperate
anger,exasperating
anger,exasperation
joy,excit
joy,excitement
joy,exciting
anger,execr
sadness,execr
sadness,execrable
anger,execrate
anger,execration
joy,exhilar
joy,exhilarate
joy,exhilarated
joy,exhilarating
joy,exhilaration
joy,exhort
joy,expans
joy,expansively
joy,expect
joy,expectancy
joy,exuber
joy,exuberance
joy,exuberant
joy,exuberantly
joy,exult
joy,exultant
joy,exultantly
joy,exultation
joy,exulting
joy,exultingly
joy,fanci
joy,fancy
surprise,fantast
surprise,fantastic
joy,fascin
joy,fascinate
joy,fascinating
joy,fascination
joy,favor
joy,favorable
joy,favorably
joy,favour
joy,favourable
joy,favourably
fear,fawn
fear,fear
fear,fearful
fear,fearfully
fear,fearfulness
fear,fearsom
fear,fearsome
disgust,fed_up
joy,feeling_of_ident
joy,feeling_of_identity
joy,fellow_feel
joy,fellow_feeling
joy,festal
joy,festiv
joy,festive
anger,fit
surprise,flabbergast
surprise,flabbergasted
surprise,flummox
joy,flush
joy,fond
joy,fond_regard
joy,fondly
joy,fondness
fear,forebod
fear,foreboding
sadness,forlorn
sadness,forlornly
sadness,forlornness
disgust,foul
joy,fratern
joy,fraternal
joy,friend
joy,friendli
joy,friendliness
joy,friendly
fear,fright
fear,frighten
fear,frighten_away
fear,frighten_off
fear,frightened
fear,frightening
fear,frighteningly
fear,frightful
anger,frustrat
anger,frustrate
anger,frustrated
anger,frustrating
anger,frustration
joy,fulfil
joy,fulfill
joy,fulfillment
joy,fulfilment
anger,furi
anger,furious
anger,furiously
anger,fury
joy,gaieti
joy,gaiety
joy,gala
anger,gall
anger,galling
joy,gay
joy,gayli
joy,gayly
surprise,get
anger,get_at
sadness,get_down
anger,get_to
joy,giving_protect
joy,giving_protection
joy,glad
joy,gladden
joy,gladdened
joy,gladfulness
joy,gladness
joy,gladsom
joy,gladsome
joy,gladsomeness
joy,glee
joy,gleeful
joy,gleefulli
joy,gleefully
joy,gleefulness
joy,gloat
joy,gloating
joy,gloatingly
sadness,gloom
sadness,gloomful
sadness,gloomi
sadness,gloomili
sadness,gloomily
sadness,gloominess
sadness,glooming
sadness,gloomy
sadness,glum
sadness,godforsaken
joy,good
joy,good_wil
joy,good_will
joy,goodwil
joy,goodwill
anger,grabbi
anger,grabby
anger,grasp
anger,grasping
joy,gratifi
joy,gratify
joy,gratifying
joy,gratifyingly
anger,gravel
surprise,gravel
joy,great
anger,greedi
anger,greedy
anger,green-ey
anger,green-eyed
anger,green-eyed_monst
anger,green-eyed_monster
sadness,grief
sadness,grief-stricken
sadness,griev
anger,grievanc
anger,grievance
sadness,grieve
sadness,grieving
sadness,grievous
sadness,grievously
sadness,grim
anger,grizzl
anger,grizzle
fear,grovel
anger,grudg
anger,grudge
anger,grudging
sadness,guilt
sadness,guilt_feel
sadness,guilt_feelings
sadness,guilt_trip
sadness,guilti
sadness,guilty
sadness,guilty_consci
sadness,guilty_conscience
joy,gusto
anger,hackl
anger,hackles
fear,hangdog
sadness,hangdog
sadness,hapless
joy,happi
joy,happili
joy,happily
joy,happiness
joy,happy
anger,harass
sadness,harass
anger,harassed
anger,harassment
fear,hardheart
fear,hardhearted
fear,hardheartedness
anger,harri
anger,harried
anger,hate
anger,hateful
anger,hatefully
anger,hatr
anger,hatred
joy,heart
sadness,heartach
sadness,heartache
sadness,heartbreak
sadness,heartbreaking
anger,heartburn
anger,heartburning
joy,hearten
fear,heartless
fear,heartlessly
fear,heartlessness
sadness,heartrend
sadness,heartrending
sadness,heartsick
sadness,heartsickness
sadness,heavyheart
sadness,heavyhearted
sadness,heavyheartedness
sadness,helpless
sadness,helplessness
joy,hero_worship
fear,hesit
fear,hesitance
fear,hesitancy
fear,hesitantly
fear,hesitatingly
disgust,hideous
fear,hideous
fear,hideously
anger,high_dudgeon
joy,high_spirit
joy,high_spirits
joy,high-spirit
joy,high-spirited
joy,hilar
joy,hilari
joy,hilarious
joy,hilariously
joy,hilarity
fear,horrend
fear,horrendous
fear,horribl
fear,horrible
fear,horribly
fear,horrid
fear,horridly
fear,horrif
fear,horrifi
fear,horrific
fear,horrified
fear,horrify
fear,horrifying
fear,horrifyingly
disgust,horror
fear,horror
fear,horror-stricken
fear,horror-struck
anger,hostil
anger,hostile
anger,hostilely
anger,hostility
surprise,howl
surprise,howling
anger,huffi
anger,huffili
anger,huffily
anger,huffiness
anger,huffish
anger,huffishness
anger,huffy
fear,hyster
fear,hysteria
fear,hysterical
fear,hysterically
joy,identif
joy,identifi
joy,identification
joy,identify
anger,ill_temp
anger,ill_temper
anger,ill_wil
anger,ill_will
joy,impress
surprise,in_awe_of
anger,incens
anger,incense
anger,incensed
anger,indign
anger,indignant
anger,indignantly
anger,indignation
joy,infatu
joy,infatuation
anger,infuri
anger,infuriate
anger,infuriated
anger,infuriating
anger,infuriation
joy,insouci
joy,insouciance
joy,inspir
joy,inspire
joy,interest
joy,intimaci
joy,intimacy
fear,intimid
fear,intimidate
fear,intimidated
fear,intimidation
joy,intox
joy,intoxicate
anger,irasc
anger,irascibility
anger,irascible
anger,ire
anger,irrit
anger,irritate
anger,irritated
anger,irritating
anger,irritation
anger,jealous
anger,jealousi
anger,jealously
anger,jealousy
joy,jocular
joy,jocularity
joy,jocund
joy,jocundity
joy,jolli
joy,jolliti
joy,jollity
joy,jolly
joy,jolly_along
joy,jolly_up
joy,jovial
joy,joviality
joy,joy
joy,joyful
joy,joyfully
joy,joyfulness
sadness,joyless
sadness,joylessly
sadness,joylessness
joy,joyous
joy,joyously
joy,joyousness
joy,jubil
joy,jubilance
joy,jubilancy
joy,jubilant
joy,jubilantly
joy,jubilate
joy,jubilation
joy,jump_for_joy
joy,keen
joy,keenness
joy,kick
joy,kid
joy,kind
joy,kindheart
joy,kindhearted
joy,kindheartedness
joy,kindly
sadness,lachrymos
sadness,lachrymose
sadness,laden
sadness,lament
sadness,lamentably
joy,laudabl
joy,laudably
joy,lift_up
joy,lighthearted
joy,lightheartedness
joy,lightsom
joy,lightsomeness
joy,likabl
joy,likable
joy,like
joy,likeabl
joy,likeable
joy,liking
joy,live_up_to
anger,livid
anger,lividity
anger,lividly
anger,loath
disgust,loath
anger,loathe
anger,loathing
disgust,loathly
disgust,loathsom
disgust,loathsome
sadness,loneli
sadness,loneliness
sadness,long-fac
sadness,long-faced
joy,look_for
joy,look_to
joy,look_up_to
sadness,lorn
joy,love
joy,lovesom
joy,lovesome
joy,loving
joy,lovingly
joy,lovingness
sadness,low
sadness,low-spirit
sadness,low-spirited
sadness,low-spiritedness
joy,loyalti
joy,loyalty
anger,mad
anger,madden
anger,maddened
anger,maddening
anger,madness
anger,malef
anger,malefic
anger,maleficence
anger,malevol
anger,malevolence
anger,malevolent
anger,malevolently
anger,malic
anger,malice
anger,malici
anger,malicious
anger,maliciously
anger,maliciousness
anger,malign
anger,malignity
surprise,marvel
surprise,marvellously
surprise,marvelous
surprise,marvelously
sadness,melanchol
sadness,melancholi
sadness,melancholic
sadness,melancholy
fear,merciless
fear,mercilessness
joy,merri
joy,merrili
joy,merrily
joy,merriment
joy,merry
joy,mirth
joy,mirthful
joy,mirthfully
joy,mirthfulness
anger,misanthrop
anger,misanthropi
anger,misanthropic
anger,misanthropical
anger,misanthropy
sadness,miser
sadness,miserable
sadness,miserably
sadness,miseri
sadness,misery
sadness,misfortun
sadness,misfortunate
anger,misocainea
anger,misogami
anger,misogamy
anger,misogyn
anger,misogyni
anger,misogynic
anger,misogynism
anger,misogyny
anger,misolog
anger,misology
anger,mison
anger,misoneism
anger,misopedia
fear,monstrous
fear,monstrously
sadness,mourn
sadness,mournful
sadness,mournfully
sadness,mournfulness
sadness,mourning
joy,move
anger,murder
anger,murderously
anger,murderousness
surprise,mystifi
surprise,mystify
anger,nark
disgust,nausea
disgust,nauseat
disgust,nauseate
disgust,nauseated
disgust,nauseating
disgust,nauseous
joy,near
anger,nettl
anger,nettle
anger,nettled
anger,nettlesom
anger,nettlesome
joy,nigh
disgust,noisom
disgust,noisome
surprise,nonplus
disgust,obscen
disgust,obscene
joy,occupi
joy,occupy
disgust,odious
disgust,odiously
anger,odium
anger,offend
anger,offens
disgust,offens
anger,offense
disgust,offensive
joy,offering_protect
joy,offering_protection
anger,oppress
sadness,oppress
sadness,oppressed
sadness,oppression
sadness,oppressive
sadness,oppressively
sadness,oppressiveness
anger,outrag
fear,outrag
anger,outrage
anger,outraged
fear,outrageous
anger,overjeal
anger,overjealous
fear,pall
fear,panic
fear,panic_attack
fear,panic-stricken
fear,panic-struck
fear,panick
fear,panicked
fear,panicki
fear,panicky
joy,partial
joy,partiality
sadness,pathet
sadness,pathetic
anger,peev
anger,peeved
sadness,penanc
sadness,penance
joy,penchant
sadness,penit
sadness,penitence
sadness,penitent
sadness,penitenti
sadness,penitentially
sadness,penitently
joy,pep_up
joy,perki
joy,perkiness
surprise,perplex
anger,persecut
sadness,persecut
anger,persecute
sadness,persecute
sadness,persecuted
anger,peski
anger,pesky
anger,pester
anger,pestered
anger,pestering
anger,pestifer
anger,pestiferous
joy,pick_up
anger,piqu
anger,pique
anger,piss
anger,pissed
sadness,piteous
sadness,piti
sadness,pitiabl
sadness,pitiable
sadness,pitiful
fear,pitiless
fear,pitilessness
sadness,pitying
anger,plaguey
anger,plaguy
sadness,plaintiv
sadness,plaintive
sadness,plaintively
sadness,plaintiveness
joy,pleas
joy,pleased
joy,pleasing
sadness,poor
anger,pout
joy,praiseworthili
joy,praiseworthily
joy,predilect
joy,predilection
joy,preen
joy,prefer
joy,preference
anger,prehensil
anger,prehensile
fear,premonit
fear,premonition
fear,presag
fear,presage
fear,presenti
fear,presentiment
joy,pride
joy,prideful
joy,protect
joy,protective
joy,protectively
joy,protectiveness
joy,proud
joy,proudly
anger,provok
anger,provoked
joy,puppy_lov
joy,puppy_love
surprise,puzzl
surprise,puzzle
disgust,queasi
disgust,queasy
anger,quick_temp
anger,quick_temper
anger,rag
anger,rage
anger,rancor
anger,rancour
joy,rapport
surprise,rattl
surprise,rattling
joy,recreat
joy,recreate
joy,regard
sadness,regret
sadness,regretful
joy,rejoic
joy,rejoice
joy,rejoicing
joy,relish
sadness,remors
sadness,remorse
sadness,remorseful
sadness,remorsefully
disgust,repel
disgust,repellant
disgust,repellent
sadness,repent
sadness,repentance
sadness,repentant
sadness,repentantly
disgust,repugn
disgust,repugnance
disgust,repugnant
disgust,repuls
disgust,repulse
disgust,repulsion
disgust,repulsive
disgust,repulsively
anger,resent
anger,resentful
anger,resentfully
anger,resentment
joy,respect
joy,revel
anger,reveng
anger,revengefully
disgust,revolt
disgust,revolting
disgust,revoltingly
disgust,revuls
disgust,revulsion
anger,rile
anger,riled
joy,riotous
joy,riotously
anger,roil
anger,roiled
joy,romant
joy,romantic
sadness,rue
sadness,rueful
sadness,ruefulli
sadness,ruefully
sadness,ruefulness
joy,rush
sadness,ruth
sadness,ruthfulness
fear,ruthless
fear,ruthlessness
sadness,sad
sadness,sadden
sadness,saddening
sadness,sadly
sadness,sadness
joy,satiabl
joy,satiable
joy,satisfact
joy,satisfaction
joy,satisfactori
joy,satisfactorili
joy,satisfactorily
joy,satisfactory
joy,satisfi
joy,satisfiable
joy,satisfied
joy,satisfy
joy,satisfying
joy,satisfyingly
fear,scare
fear,scare_away
fear,scare_off
fear,scared
fear,scarey
fear,scari
fear,scarili
fear,scarily
fear,scary
anger,scene
joy,schadenfreud
joy,schadenfreude
anger,score
anger,scorn
joy,scream
joy,screaming
anger,see_r
anger,see_red
joy,self-complac
joy,self-complacency
fear,self-distrust
fear,self-doubt
sadness,self-piti
sadness,self-pity
sadness,self-reproach
joy,self-satisfact
joy,self-satisfaction
joy,self-satisfi
joy,self-satisfied
fear,shadow
sadness,shame
sadness,shamed
sadness,shamefac
sadness,shamefaced
fear,shi
fear,shiveri
fear,shivery
anger,short_temp
anger,short_temper
fear,shudderi
fear,shuddery
fear,shy
